foul	f {O l
crowbar	' k r\ @} b 6:
incorporate	I N ' k o: p @ r\ {I t
chirpy	' tS 3: p i:
bomb	b O m
droppings	' d r\ O p I N z
prig	p r\ I g
soluble	' s O l j @ b @ l
gauge	g {I dZ
ulcer	' 6 l s @
participate	p @ ' t I s @ p {I t
lethal	' l i: T @ l
busy	' b I z i:
layout	' l {I {O t
headline	' h e d l Ae n
menu	' m e n j }:
underpants	' 6 n d @ p { n t s
bust	b 6 s t
bush	b U S
bliss	b l I s
rich	r\ I tS
mend	m e n d
rice	r\ Ae s
plate	p l {I t
remarry	r\ i: ' m { r\ i:
doublecross	d 6 b @ l ' k r\ O s
denounce	d @ ' n {O n s
foremost	' f o: m @} s t
pocket	' p O k @ t
cushion	' k U S @ n
altogether	o: l t @ ' g e D @
X	e k s
aroma	@ ' r\ @} m @
chutney	' tS 6 t n i:
unfortunately	6 n f o: tS @ n @ t l i:
maverick	' m { v @ r\ I k
boarder	' b o: d @
patch	p { tS
posh	p O S
release	r\ @ ' l i: s
respond	r\ @ ' s p O n d
blew	b l }:
mandatory	' m { n d @ t r\ i:
disaster	d @ ' z 6: s t @
fair	f e:
heirloom	' e: l }: m
second-class	' s e k @ n d k l 6: s
peripheral	p @ ' r\ I f @ r\ @ l
radius	' r\ {I d i: @ s
result	r\ @ ' z 6 l t
fail	f {I l
crouch	k r\ {O tS
John	dZ O n
hammer	' h { m @
alternative	O l ' t 3: n @ t I v
best	b e s t
moron	' m o: r\ O n
partition	p 6: ' t I S @ n
irk	3: k
scorn	s k o: n
timber	' t I m b @
pirate	' p Ae r\ @ t
skimpy	' s k I m p i:
preserve	p r\ @ ' z 3: v
wage	w {I dZ
never	' n e v @
extend	@ k ' s t e n d
nature	' n {I tS @
felony	' f e l @ n i:
millibar	' m I l i: b 6:
souvenir	s }: v @ ' n I@
extent	@ k ' s t e n t
butane	' b j }: t {I n
downgrade	d {O n ' g r\ {I d
carbon	' k 6: b @ n
debt	d e t
pity	' p I t i:
accident	' { k s @ d @ n t
disdain	d I s ' d {I n
country	' k 6 n t r\ i:
pith	p I T
freeze-dry	' f r\ i: z d r\ Ae
carburettor	k 6: b j @ ' r\ e t @
argue	' 6: g j }:
tinge	t I n Z
asked	6: s k t
eradicate	@ ' r\ { d @ k {I t
mortified	' m o: t @ f Ae d
vain	v {I n
smithereens	s m I D @ ' r\ i: n z
hers	h 3: z
canyon	' k { n j @ n
blonde	b l O n d
truthful	' t r\ }: T f U l
lighthouse	l Ae t h {O s
underdone	6 n d @ ' d 6 n
chrome	k r\ @} m
subside	s @ b ' s Ae d
muck	m 6 k
much	m 6 tS
west	w e s t
stadium	' s t {I d i: @ m
privilege	' p r\ I v @ l I dZ
fry	f r\ Ae
pancreas	' p { N k r\ i: @ s
incompetent	I N ' k O m p @ t @ n t
dots	d O t s
obese	@} ' b i: s
life	l Ae f
spit	s p I t
café	k { f {I
freehold	' f r\ i: h @} l d
wish	w I S
lift	l I f t
toboggan	t @ ' b O g @ n
dote	d @} t
child	tS Ae l d
spin	s p I n
cunt	k 6 n t
chill	tS I l
commerce	' k O m 3: s
by-election	' b Ae @ l e k S @ n
dissect	d @ ' s e k t
brainstorm	' b r\ {I n s t o: m
employ	e m ' p l oI
calcium	' k { l s i: @ m
seasickness	' s i: s I k n @ s
suspense	s @ ' s p e n s
k	k {I
equator	@ ' k w {I t @
delicatessen	d e l @ k @ ' t e s @ n
conditioned	k @ n ' d I S @ n d
eighteen	{I ' t i: n
violin	v Ae @ ' l I n
flea-bitten	' f l i: b I t @ n
bricklayer	' b r\ I k l {I @
memorial	m @ ' m o: r\ i: @ l
toaster	' t @} s t @
compact	' k O m p { k t
swarthy	' s w o: D i:
drop-out	' d r\ O p {O t
harmony	' h 6: m @ n i:
lamington	' l { m I N t @ n
Amelia	@ m i: l i: @
fairly	' f e: l i:
half-sister	' h 6: f s I s t @
hosiery	' h @} Z @ r\ i:
superstitious	s }: p @ ' s t I S @ s
typhoid	' t Ae f oI d
workforce	' w 3: k f o: s
boiler	' b oI l @
supper	' s 6 p @
therell	D e: l
tuna	' t j }: n @
haggard	' h { g @ d
tune	t j }: n
suitable	' s }: t @ b @ l
acoustics	@ ' k }: s t I k s
milliner	' m I l @ n @
plaque	p l 6: k
bellow	' b e l @}
distribute	d @ ' s t r\ I b j }: t
disguise	d @ s ' g Ae z
plight	p l Ae t
divination	d I v @ ' n {I S @ n
previous	' p r\ i: v i: @ s
hah	h 6:
terrific	t @ ' r\ I f I k
handshake	' h { n d S {I k
spectacles	' s p e k t @ k @ l z
ham	h { m
han	h { n
ease	i: z
had	h { d
advancement	@ d ' v { n s m @ n t
watercolour	' w o: t @ k 6 l @
hay	h {I
obedient	@ ' b i: d i: @ n t
easy	' i: z i:
prison	' p r\ I z @ n
falter	' f o: l t @
east	i: s t
hat	h { t
scrotum	' s k r\ @} t @ m
possible	' p O s @ b @ l
birth	b 3: T
pertinent	' p 3: t @ n @ n t
shadow	' S { d @}
summons	' s 6 m @ n z
tolerable	' t O l @ r\ @ b @ l
desire	d @ ' z Ae @
seek	s i: k
seaside	' s i: s Ae d
crematorium	k r\ e m @ ' t o: r\ i: @ m
remind	r\ @ ' m Ae n d
pavement	' p {I v m @ n t
meringue	m @ ' r\ { N
prologue	' p r\ @} l O g
beneficial	b e n @ ' f I S @ l
right	r\ Ae t
old	@} l d
creek	k r\ i: k
crowd	k r\ {O d
people	' p i: p @ l
macabre	m @ ' k 6: b
crown	k r\ {O n
topping	' t O p I N
captive	' k { p t I v
sure	S o:
billboard	' b I l b o: d
prick	p r\ I k
creep	k r\ i: p
sociology	s @} s i: ' O l @ dZ i:
for	f o:
bottom	' b O t @ m
rehearse	r\ @ ' h 3: s
fox	f O k s
p.m.	p i: ' e m
disheartened	d I s ' h 6: t @ n d
fog	f O g
tertiary	' t 3: S @ r\ i:
fob	f O b
monogamy	m @ ' n O g @ m i:
EFTPOS	' e f t p O s
vacancy	' v {I k @ n s i:
post	p @} s t
dental	' d e n t @ l
defensive	d @ ' f e n s I v
memorable	' m e m r\ @ b @ l
joule	dZ }: l
o	@}
bicentennial	b Ae s @ n ' t e n i: @ l
despair	d @ ' s p e:
repellent	r\ @ ' p e l @ n t
meddle	' m e d @ l
gauze	g o: z
facility	f @ ' s I l @ t i:
honeymoon	' h 6 n i: m }: n
son	s 6 n
multiply	' m 6 l t @ p l Ae
sow	s @}
hospice	' h O s p @ s
Korean	k @ ' r\ i: @ n
Governor-General	g 6 v @ n @ ' dZ e n r\ @ l
frazzled	' f r\ { z @ l d
fabric	' f { b r\ I k
panorama	p { n @ ' r\ 6: m @
altitude	' { l t @ t j }: d
saunter	' s o: n t @
avail	@ ' v {I l
grasping	' g r\ { s p I N
overhead	@} v @ ' h e d
happy	' h { p i:
offer	' O f @
thesaurus	T @ ' s o: r\ @ s
hemisphere	' h e m @ s f I@
straggle	s t r\ { g @ l
squalid	' s k w O l @ d
duel	' d j }: @ l
inside	I n ' s Ae d
myopia	m Ae ' @} p i: @
after-effect	' 6: f t @ r\ @ f e k t
pest	p e s t
palm	p 6: m
duet	d j }: ' e t
passenger	' p { s @ n dZ @
juvenile	' dZ }: v @ n Ae l
adopt	@ ' d O p t
disgrace	d @ s ' g r\ {I s
tournament	' t o: n @ m @ n t
textbook	' t e k s t b U k
crumble	' k r\ 6 m b @ l
soothe	s }: D
exist	@ g ' z I s t
splotch	s p l O tS
sprouts	s p r\ {O t s
dealer	' d i: l @
Paul's	p o: l z
leer	l I@
relay	' r\ i: l {I
floor	f l o:
glacier	' g l {I s i: @
actor	' { k t @
flood	f l 6 d
desecrate	' d e s @ k r\ {I t
republic	r\ @ ' p 6 b l I k
sunset	' s 6 n s e t
smell	s m e l
circumcise	' s 3: k @ m s Ae z
tame	t {I m
E	i:
ointment	' oI n t m @ n t
asterisk	' { s t @ r\ I s k
Melbourne	m e l b @ n
scale	s k {I l
rolling	r\ @} l I N
windscreen	' w I n d s k r\ i: n
congested	k @ n ' dZ e s t @ d
melba	m e l b @
Charles	tS 6: l z
rockery	' r\ O k @ r\ i:
pet	p e t
time	t Ae m
push	p U S
gown	g {O n
proficient	p r\ @ ' f I S @ n t
chain	tS {I n
whoever	h }: ' e v @
crocodile	' k r\ O k @ d Ae l
avalanche	' { v @ l { n S
skate	s k {I t
per	p 3:
convoy	' k O n v oI
chair	tS e:
ballet	' b { l {I
freelance	' f r\ i: l { n s
indolent	' I n d @ l @ n t
vex	v e k s
crater	' k r\ {I t @
macho	' m { tS @}
oversight	' @} v @ s Ae t
splutter	' s p l 6 t @
bogus	' b @} g @ s
persevere	p 3: s @ ' v I@
dragonfly	' d r\ { g @ n f l Ae
icing	' Ae s I N
jerk	dZ 3: k
recipe	' r\ e s @ p i:
choice	tS oI s
embark	e m ' b 6: k
gloomy	' g l }: m i:
mourn	m o: n
bustle	' b 6 s @ l
knapsack	' n { p s { k
exact	@ g ' z { k t
minute	m Ae ' n j }: t
room	r\ }: m
peg	p e g
sterilise	' s t e r\ @ l Ae z
tear	t I@
unify	' j }: n @ f Ae
pantihose	' p { n t i: h @} z
pea	p i:
leave	l i: v
crustacean	k r\ 6 s ' t {I S @ n
settle	' s e t @ l
Cantonese	k { n t @ ' n i: z
depository	d @ ' p O z @ t r\ i:
skewer	' s k j }: @
bonfire	' b O n f Ae @
prevent	p r\ @ ' v e n t
bulldozer	' b U l d @} z @
attic	' { t I k
fingernail	' f I N g @ n {I l
milligram	' m I l @ g r\ { m
erotic	@ ' r\ O t I k
jeopardy	' dZ e p @ d i:
celebrated	' s e l @ b r\ {I t @ d
melt	m e l t
current	' k 6 r\ @ n t
record-player	' r\ e k o: d p l {I @
crackling	' k r\ { k l I N
badge	b { dZ
jury	' dZ }: r\ i:
honour	' O n @
funeral	' f j }: n r\ @ l
contemplate	' k O n t @ m p l {I t
snack	s n { k
Ms	m I z
address	@ ' d r\ e s
alone	@ ' l @} n
along	@ ' l O N
momentous	m @ ' m e n t @ s
brilliant	' b r\ I l j @ n t
wherever	w e: r\ ' e v @
queue	k j }:
MP	e m ' p i:
MS	e m ' e s
influx	' I n f l 6 k s
love	l 6 v
radish	' r\ { d I S
prefer	p r\ @ ' f 3:
logical	' l O dZ I k @ l
bloody	' b l 6 d i:
fake	f {I k
August	' o: g @ s t
homesick	' h @} m s I k
positive	' p O z @ t I v
angry	' { N g r\ i:
dangle	' d { N g @ l
wicket	' w I k @ t
scope	s k @} p
wicked	' w I k @ d
tinea	' t I n i: @
afford	@ ' f o: d
apparent	@ ' p { r\ @ n t
refrain	r\ @ ' f r\ {I n
odious	' @} d i: @ s
visual	' v I Z }: @ l
appendix	@ ' p e n d I k s
ignorant	' I g n @ r\ @ n t
degrade	d @ ' g r\ {I d
behalf	b @ ' h 6: f
mascot	' m { s k O t
honey	' h 6 n i:
wool	w U l
Pope	p @} p
pretend	p r\ @ ' t e n d
abortion	@ ' b o: S @ n
strain	s t r\ {I n
three	T r\ i:
dispossess	d I s p @ ' z e s
following	' f O l @} I N
detached	d @ ' t { tS t
pumpkin	' p 6 m p k @ n
esky	' e s k i:
temperature	' t e m p r\ @ tS @
parachute	' p { r\ @ S }: t
stole	s t @} l
litre	' l i: t @
winter	' w I n t @
septic	' s e p t I k
nightclothes	' n Ae t k l @} D z
immune	@ ' m j }: n
unforgettable	6 n f @ ' g e t @ b @ l
STD	e s t i: ' d i:
laundry	' l o: n d r\ i:
slush	s l 6 S
spot	s p O t
rehabilitate	r\ i: h @ ' b I l @ t {I t
laxative	' l { k s @ t I v
echidna	@ ' k I d n @
cardiac	' k 6: d i: { k
shelving	' S e l v I N
suck	s 6 k
data	' d 6: t @
disagreeable	d I s @ ' g r\ i: @ b @ l
stress	s t r\ e s
surfing	s 3: f I N
natural	' n { tS @ r\ @ l
conscious	' k O n S @ s
wheelchair	' w i: l tS e:
applicant	' { p l @ k @ n t
numberplate	' n 6 m b @ p l {I t
so	s @}
swollen	' s w @} l @ n
mange	m {I n dZ
Islam	' I z l { m
footstep	' f U t s t e p
epilepsy	' e p @ l e p s i:
recipient	r\ @ ' s I p i: @ n t
feature	' f i: tS @
course	k o: s
horrify	' h O r\ @ f Ae
deity	' d {I @ t i:
savoury	' s {I v @ r\ i:
tore	t o:
jig	dZ I g
avid	' { v @ d
derive	d @ ' r\ Ae v
disconnect	d I s k @ ' n e k t
haughty	' h o: t i:
torn	t o: n
suspicion	s @ ' s p I S @ n
stroll	s t r\ @} l
antipathy	{ n ' t I p @ T i:
suspension	s @ ' s p e n S @ n
deviant	' d i: v i: @ n t
apron	' {I p r\ @ n
thereby	D e: ' b Ae
civilian	s @ ' v I l j @ n
pushover	' p U S @} v @
bashful	' b { S f U l
brainwave	' b r\ {I n w {I v
indigenous	I n ' d I dZ @ n @ s
in-laws	' I n l o: z
twilight	' t w Ae l Ae t
ketchup	' k e tS @ p
revert	r\ @ ' v 3: t
fisherman	' f I S @ m @ n
bowling	' b @} l I N
quarter	' k w o: t @
quartet	k w o: ' t e t
bucktooth	b 6 k ' t }: T
square	s k w e:
retrieve	r\ @ ' t r\ i: v
ACT	{I s i: ' t i:
fireproof	' f Ae @ p r\ }: f
breakthrough	' b r\ {I k T r\ }:
sponsor	' s p O n s @
minority	m Ae ' n O r\ @ t i:
giddy	' g I d i:
naked	' n {I k @ d
canvas	' k { n v @ s
container	k @ n ' t {I n @
abide	@ ' b Ae d
rooster	' r\ }: s t @
formula	' f o: m j @ l @
hibernate	' h Ae b @ n {I t
hairdresser	' h e: d r\ e s @
siege	s i: dZ
million	' m I l j @ n
seventh	' s e v @ n T
quite	k w Ae t
disrespect	d I s r\ @ ' s p e k t
snooker	' s n }: k @
lucrative	' l }: k r\ @ t I v
besides	b @ ' s Ae d z
byte	b Ae t
remainder	r\ @ ' m {I n d @
seventy	' s e v @ n t i:
training	' t r\ {I n I N
backside	b { k ' s Ae d
barrister	' b { r\ @ s t @
Z	z e d
wrong	r\ O N
acutely	@ ' k j }: t l i:
initiate	@ ' n I S i: {I t
impure	I m ' p j U @
punt	p 6 n t
footwear	' f U t w e:
P-plate	' p i: p l {I t
neglect	n @ ' g l e k t
puny	' p j }: n i:
dunny	' d 6 n i:
emotion	@ ' m @} S @ n
intuition	I n tS }: ' I S @ n
symmetry	' s I m @ t r\ i:
spoken	' s p @} k @ n
clause	k l o: z
ATM	{I t i: ' e m
potter	' p O t @
hair-raising	' h e: r\ {I z I N
one	w 6 n
periodical	p I@ r\ i: ' O d I k @ l
anti-	' { n t i:
chubby	' tS 6 b i:
open	' @} p @ n
city	' s I t i:
boulevard	' b }: l @ v 6: d
convent	' k O n v @ n t
bite	b Ae t
waist	w {I s t
extortion	@ k ' s t o: S @ n
indicate	' I n d @ k {I t
shiver	' S I v @
brevity	' b r\ e v @ t i:
dissipate	' d I s @ p {I t
convene	k @ n ' v i: n
prone	p r\ @} n
floppy	' f l O p i:
shawl	S o: l
snatch	s n { tS
ridiculous	r\ @ ' d I k j @ l @ s
boyfriend	' b oI f r\ e n d
translate	t r\ { n z ' l {I t
iceberg	' Ae s b 3: g
rival	' r\ Ae v @ l
stammer	' s t { m @
folly	' f O l i:
crossroads	' k r\ O s r\ @} d z
future	' f j }: tS @
damned	d { m d
prospect	' p r\ O s p e k t
sumptuous	' s 6 m p tS }: @ s
sag	s { g
argument	' 6: g j @ m @ n t
alley	' { l i:
sad	s { d
say	s {I
borough	' b 6 r\ @
saw	s o:
sat	s { t
handicraft	' h { n d i: k r\ 6: f t
babysit	' b {I b i: s I t
Jewish	' dZ }: I S
knead	n i: d
downwards	' d {O n w @ d z
aside	@ ' s Ae d
zoo	z }:
note	n @} t
take	t {I k
poster	' p @} s t @
destroy	d @ ' s t r\ oI
coincide	k @} @ n ' s Ae d
pimple	' p I m p @ l
printer	' p r\ I n t @
opposite	' O p @ s @ t
buffer	' b 6 f @
discerning	d @ ' s 3: n I N
knew	n j }:
compress	k @ m ' p r\ e s
buffet	' b 6 f {I
knee	n i:
Portuguese	p o: tS @ ' g i: z
lawn	l o: n
operate	' O p @ r\ {I t
enamel	@ ' n { m @ l
touchy	' t 6 tS i:
average	' { v r\ I dZ
constable	' k 6 n s t @ b @ l
drive	d r\ Ae v
crooked	' k r\ U k @ d
jitters	' dZ I t @ z
wind	w I n d
axe	{ k s
salt	s O l t
landlady	' l { n d l {I d i:
surplus	' s 3: p l @ s
infuriate	I n ' f j }: r\ i: {I t
mince	m I n s
friction	' f r\ I k S @ n
far-reaching	f 6: ' r\ i: tS I N
bright	b r\ Ae t
scarce	s k e: s
aggressive	@ ' g r\ e s I v
calamari	k { l @ ' m 6: r\ i:
slot	s l O t
fibre	' f Ae b @
slow	s l @}
slop	s l O p
fibro	' f Ae b r\ @}
cloak	k l @} k
tears	t I@ z
slog	s l O g
hockey	' h O k i:
slob	s l O b
outrage	{O t ' r\ {I dZ
robe	r\ @} b
dispute	d @ ' s p j }: t
dissimilar	d I s ' s I m @ l @
psychiatrist	s @ ' k Ae @ t r\ @ s t
occupation	O k j @ ' p {I S @ n
clang	k l { N
submerge	s @ b ' m 3: dZ
prime	p r\ Ae m
resource	r\ @ ' z o: s
artist	' 6: t @ s t
assimilate	@ ' s I m @ l {I t
hinges	h I n dZ @ z
saliva	s @ ' l Ae v @
borrow	' b O r\ @}
soloist	' s @} l @} @ s t
priest	p r\ i: s t
landlord	' l { n d l o: d
liable	' l Ae @ b @ l
where	w e:
vision	' v I Z @ n
gout	g {O t
morose	m @ ' r\ @} s
keyboard	' k i: b o: d
gangster	' g { N s t @
surgery	' s 3: dZ @ r\ i:
no-one	' n @} w 6 n
diver	' d Ae v @
dysentery	' d I s @ n t r\ i:
mutton	' m 6 t @ n
sponsorship	' s p O n s @ S I p
dormitory	' d o: m @ t r\ i:
bureau	' b j }: r\ @}
mope	m @} p
teens	t i: n z
forsake	f @ ' s {I k
jumper	' dZ 6 m p @
Bible	' b Ae b @ l
vertical	' v 3: t I k @ l
apparition	{ p @ ' r\ I S @ n
screen	s k r\ i: n
dome	d @} m
supermarket	' s }: p @ m 6: k @ t
concentrate	' k O n s @ n t r\ {I t
spare	s p e:
spark	s p 6: k
jaunty	' dZ o: n t i:
quack	k w { k
circumference	s @ ' k 6 m f @ r\ @ n s
many	' m e n i:
deduction	d @ ' d 6 k S @ n
s	e s
mane	m {I n
mosaic	m @} ' z {I I k
flipper	' f l I p @
expression	@ k ' s p r\ e S @ n
allowance	@ ' l {O @ n s
riddle	' r\ I d @ l
gaiety	' g {I @ t i:
twin	t w I n
extinct	@ k ' s t I N k t
twig	t w I g
boat	b @} t
testimonial	t e s t @ ' m @} n i: @ l
stretch	s t r\ e tS
toothpaste	' t }: T p {I s t
vacation	v {I ' k {I S @ n
concede	k @ n ' s i: d
breath	b r\ e T
almighty	o: l ' m Ae t i:
prototype	' p r\ @} t @} t Ae p
reflex	' r\ i: f l e k s
enable	e n ' {I b @ l
gist	dZ I s t
thousand	' T {O z @ n d
persist	p @ ' s I s t
observe	@ b ' z 3: v
former	' f o: m @
jute	dZ }: t
